enrollment_id,student_id,course_id,semester,final_grade,letter_grade,attendance_rate,assignment_scores,midterm_score,final_exam_score
ENROLL_00000136,STU_000030,COURSE_000104,Summer 2025,2.97,B,0.82,0.71,0.5,0.76
ENROLL_00000137,STU_000030,COURSE_000035,Fall 2024,2.77,B,0.67,0.84,0.94,0.95
ENROLL_00000138,STU_000030,COURSE_000113,Spring 2025,2.51,B-,0.74,0.73,0.83,0.68
ENROLL_00000139,STU_000030,COURSE_000098,Spring 2025,3.09,B+,0.97,0.82,0.63,0.97
ENROLL_00000140,STU_000030,COURSE_000060,Spring 2025,2.95,B,0.96,0.89,0.98,0.91
ENROLL_00000141,STU_000030,COURSE_000067,Fall 2024,2.65,B-,0.71,0.75,0.36,0.77
ENROLL_00000142,STU_000030,COURSE_000083,Summer 2025,3.21,B+,1.0,0.87,0.91,0.59
ENROLL_00000143,STU_000031,COURSE_000018,Summer 2025,1.84,C,1.0,1.0,0.95,1.0
ENROLL_00000144,STU_000031,COURSE_000012,Spring 2025,2.63,B-,0.96,0.87,0.68,0.82
ENROLL_00000145,STU_000031,COURSE_000113,Spring 2025,3.28,B+,1.0,0.47,0.65,0.57
ENROLL_00000146,STU_000031,COURSE_000056,Summer 2025,3.21,B+,0.7,1.0,0.9,1.0
ENROLL_00000147,STU_000031,COURSE_000081,Spring 2025,2.59,B-,0.96,0.99,0.79,0.25
ENROLL_00000148,STU_000031,COURSE_000054,Fall 2024,2.54,B-,0.78,0.84,0.42,0.88
ENROLL_00000149,STU_000032,COURSE_000083,Summer 2025,4.0,A,0.97,0.48,0.61,0.96
ENROLL_00000150,STU_000032,COURSE_000118,Summer 2025,4.0,A,0.6,0.68,0.8,0.94
ENROLL_00000151,STU_000032,COURSE_000111,Spring 2025,4.0,A,0.74,0.66,0.55,0.79
ENROLL_00000152,STU_000032,COURSE_000001,Summer 2025,4.0,A,0.63,0.8,0.91,0.55
ENROLL_00000153,STU_000032,COURSE_000070,Spring 2025,4.0,A,1.0,0.68,1.0,0.54
ENROLL_00000154,STU_000032,COURSE_000036,Spring 2025,4.0,A,0.74,0.99,0.93,1.0
ENROLL_00000155,STU_000032,COURSE_000016,Spring 2025,4.0,A,0.97,1.0,0.93,0.81
ENROLL_00000156,STU_000033,COURSE_000034,Summer 2025,3.65,A-,0.63,0.59,1.0,0.73
ENROLL_00000157,STU_000033,COURSE_000081,Spring 2025,3.1,B+,0.94,1.0,0.77,0.62
ENROLL_00000158,STU_000033,COURSE_000100,Spring 2025,3.07,B+,0.8,0.94,0.49,0.64
ENROLL_00000159,STU_000033,COURSE_000027,Spring 2025,3.33,A-,0.74,0.76,0.9,0.85
ENROLL_00000160,STU_000033,COURSE_000025,Summer 2025,3.38,A-,0.93,1.0,0.99,0.58
ENROLL_00000161,STU_000033,COURSE_000064,Summer 2025,2.99,B,0.96,0.61,0.72,0.96
ENROLL_00000162,STU_000034,COURSE_000128,Summer 2025,4.0,A,1.0,1.0,0.71,0.74
ENROLL_00000163,STU_000034,COURSE_000073,Summer 2025,4.0,A,0.95,0.39,0.98,0.67
ENROLL_00000164,STU_000034,COURSE_000030,Fall 2024,4.0,A,0.91,0.78,0.75,0.89
ENROLL_00000165,STU_000035,COURSE_000066,Summer 2025,4.0,A,0.73,1.0,0.6,0.57
ENROLL_00000166,STU_000035,COURSE_000032,Summer 2025,4.0,A,0.85,0.93,0.61,0.52
ENROLL_00000167,STU_000035,COURSE_000123,Spring 2025,4.0,A,0.74,0.68,0.4,0.78
ENROLL_00000168,STU_000035,COURSE_000053,Summer 2025,3.8,A,1.0,0.8,0.96,0.73
ENROLL_00000169,STU_000035,COURSE_000112,Fall 2024,3.95,A,1.0,0.71,0.89,0.42
ENROLL_00000170,STU_000035,COURSE_000018,Summer 2025,3.6,A-,0.89,0.92,0.79,0.88
ENROLL_00000171,STU_000035,COURSE_000008,Spring 2025,3.92,A,1.0,1.0,0.93,0.7
ENROLL_00000172,STU_000036,COURSE_000092,Spring 2025,3.31,A-,0.66,0.83,0.54,1.0
ENROLL_00000173,STU_000036,COURSE_000042,Summer 2025,3.72,A,0.86,0.76,0.81,1.0
ENROLL_00000174,STU_000036,COURSE_000064,Summer 2025,3.62,A-,0.82,0.97,0.32,0.71
ENROLL_00000175,STU_000036,COURSE_000006,Summer 2025,3.64,A-,0.76,0.97,0.91,1.0
ENROLL_00000176,STU_000037,COURSE_000081,Spring 2025,3.39,A-,0.95,0.81,1.0,0.98
ENROLL_00000177,STU_000037,COURSE_000068,Fall 2024,4.0,A,0.86,0.62,0.53,0.43
ENROLL_00000178,STU_000037,COURSE_000047,Summer 2025,4.0,A,0.78,0.78,1.0,0.86
ENROLL_00000179,STU_000038,COURSE_000111,Spring 2025,4.0,A,0.91,0.91,0.79,0.62
ENROLL_00000180,STU_000038,COURSE_000123,Spring 2025,3.55,A-,0.79,1.0,0.7,0.82
ENROLL_00000181,STU_000038,COURSE_000053,Summer 2025,3.67,A-,0.93,0.57,0.78,0.76
ENROLL_00000182,STU_000038,COURSE_000119,Fall 2024,4.0,A,0.85,0.82,0.8,0.98
ENROLL_00000183,STU_000038,COURSE_000011,Summer 2025,4.0,A,0.86,1.0,0.8,0.53
ENROLL_00000184,STU_000038,COURSE_000104,Summer 2025,4.0,A,0.91,0.87,0.38,1.0
ENROLL_00000185,STU_000038,COURSE_000081,Spring 2025,4.0,A,1.0,0.85,1.0,0.89
ENROLL_00000186,STU_000039,COURSE_000006,Summer 2025,3.55,A-,0.81,0.73,0.17,0.79
ENROLL_00000187,STU_000039,COURSE_000100,Spring 2025,3.67,A-,0.86,0.54,0.68,1.0
ENROLL_00000188,STU_000039,COURSE_000035,Fall 2024,3.7,A-,0.96,0.82,0.89,0.59
ENROLL_00000189,STU_000039,COURSE_000004,Spring 2025,3.62,A-,0.82,0.88,1.0,0.54
ENROLL_00000190,STU_000040,COURSE_000023,Fall 2024,4.0,A,1.0,0.57,0.76,0.59
ENROLL_00000191,STU_000040,COURSE_000127,Fall 2024,3.9,A,1.0,1.0,0.88,0.78
ENROLL_00000192,STU_000040,COURSE_000099,Spring 2025,4.0,A,0.89,0.81,0.9,0.5
ENROLL_00000193,STU_000040,COURSE_000094,Fall 2024,2.85,B,1.0,0.7,0.68,0.86
ENROLL_00000194,STU_000040,COURSE_000077,Summer 2025,3.27,B+,0.91,0.7,0.88,0.92
ENROLL_00000195,STU_000041,COURSE_000113,Spring 2025,3.14,B+,0.62,0.84,0.75,0.9
ENROLL_00000196,STU_000041,COURSE_000032,Summer 2025,3.3,B+,1.0,0.88,0.92,0.93
ENROLL_00000197,STU_000041,COURSE_000095,Summer 2025,2.92,B,0.66,0.83,0.99,0.8
ENROLL_00000198,STU_000041,COURSE_000006,Summer 2025,3.18,B+,0.69,0.88,0.7,0.87
ENROLL_00000199,STU_000041,COURSE_000064,Summer 2025,2.83,B,0.82,0.9,0.92,1.0
ENROLL_00000200,STU_000041,COURSE_000047,Summer 2025,3.8,A,1.0,1.0,0.65,0.82
ENROLL_00000201,STU_000042,COURSE_000078,Spring 2025,2.68,B-,1.0,0.7,0.77,0.57
ENROLL_00000202,STU_000042,COURSE_000094,Fall 2024,2.68,B-,0.83,0.9,0.79,0.73
ENROLL_00000203,STU_000042,COURSE_000021,Spring 2025,3.28,B+,0.8,1.0,0.84,0.77
ENROLL_00000204,STU_000042,COURSE_000053,Summer 2025,2.72,B,1.0,0.53,0.7,1.0
ENROLL_00000205,STU_000042,COURSE_000072,Spring 2025,3.49,A-,1.0,1.0,0.58,0.79
ENROLL_00000206,STU_000042,COURSE_000035,Fall 2024,2.94,B,0.66,0.85,0.95,0.46
ENROLL_00000207,STU_000043,COURSE_000062,Spring 2025,2.19,C+,0.78,0.95,0.84,0.58
ENROLL_00000208,STU_000043,COURSE_000086,Summer 2025,2.79,B,0.98,0.83,0.68,0.69
ENROLL_00000209,STU_000043,COURSE_000047,Summer 2025,3.15,B+,0.85,0.67,1.0,0.51
ENROLL_00000210,STU_000043,COURSE_000066,Summer 2025,2.62,B-,0.98,0.61,0.93,0.71
ENROLL_00000211,STU_000043,COURSE_000101,Summer 2025,2.73,B,0.86,0.8,0.74,0.66
ENROLL_00000212,STU_000043,COURSE_000093,Summer 2025,3.12,B+,0.78,0.53,1.0,0.94
ENROLL_00000213,STU_000043,COURSE_000083,Summer 2025,3.23,B+,0.98,0.91,0.76,0.66
ENROLL_00000214,STU_000044,COURSE_000116,Fall 2024,4.0,A,0.83,0.44,0.81,0.84
ENROLL_00000215,STU_000044,COURSE_000051,Spring 2025,4.0,A,0.82,0.83,0.55,0.73
ENROLL_00000216,STU_000044,COURSE_000115,Fall 2024,4.0,A,1.0,1.0,0.89,1.0
ENROLL_00000217,STU_000044,COURSE_000027,Spring 2025,4.0,A,0.79,0.79,0.95,0.67
ENROLL_00000218,STU_000044,COURSE_000071,Fall 2024,4.0,A,0.68,0.87,0.33,0.76
ENROLL_00000219,STU_000044,COURSE_000034,Summer 2025,4.0,A,0.79,0.96,0.92,0.97
ENROLL_00000220,STU_000045,COURSE_000041,Spring 2025,3.9,A,0.81,0.98,0.81,0.58
ENROLL_00000221,STU_000045,COURSE_000102,Fall 2024,4.0,A,0.8,0.75,0.74,0.51
ENROLL_00000222,STU_000045,COURSE_000096,Spring 2025,3.9,A,0.81,1.0,0.96,0.7
ENROLL_00000223,STU_000045,COURSE_000080,Summer 2025,3.94,A,0.91,0.98,0.84,0.72
ENROLL_00000224,STU_000046,COURSE_000106,Spring 2025,3.09,B+,0.87,1.0,0.6,0.65
ENROLL_00000225,STU_000046,COURSE_000101,Summer 2025,3.85,A,0.98,1.0,0.83,0.75
ENROLL_00000226,STU_000046,COURSE_000057,Spring 2025,3.87,A,0.81,0.89,0.81,0.8
ENROLL_00000227,STU_000046,COURSE_000037,Fall 2024,3.31,A-,0.57,0.96,0.89,0.99
ENROLL_00000228,STU_000047,COURSE_000109,Fall 2024,4.0,A,0.84,0.84,0.93,0.64
ENROLL_00000229,STU_000047,COURSE_000003,Fall 2024,3.21,B+,0.71,0.71,0.29,0.82
ENROLL_00000230,STU_000047,COURSE_000040,Spring 2025,4.0,A,0.82,0.94,1.0,0.34
ENROLL_00000231,STU_000047,COURSE_000060,Spring 2025,3.73,A,1.0,0.65,1.0,0.96
ENROLL_00000232,STU_000048,COURSE_000080,Summer 2025,3.26,B+,1.0,1.0,1.0,0.92
ENROLL_00000233,STU_000048,COURSE_000103,Summer 2025,3.64,A-,0.81,0.55,0.62,0.93
ENROLL_00000234,STU_000048,COURSE_000112,Fall 2024,3.79,A,1.0,0.65,0.71,0.66
ENROLL_00000235,STU_000048,COURSE_000014,Spring 2025,3.32,A-,0.9,0.71,0.9,0.71
ENROLL_00000236,STU_000048,COURSE_000102,Fall 2024,3.52,A-,1.0,0.76,0.44,0.99
ENROLL_00000237,STU_000048,COURSE_000006,Summer 2025,3.26,B+,0.77,0.78,0.71,0.98
ENROLL_00000238,STU_000048,COURSE_000002,Summer 2025,3.41,A-,0.81,0.79,1.0,0.99
ENROLL_00000239,STU_000049,COURSE_000097,Fall 2024,3.38,A-,0.87,1.0,0.7,1.0
ENROLL_00000240,STU_000049,COURSE_000064,Summer 2025,3.51,A-,0.94,0.87,0.87,0.84
ENROLL_00000241,STU_000049,COURSE_000102,Fall 2024,3.96,A,0.79,0.64,0.65,0.52
ENROLL_00000242,STU_000049,COURSE_000094,Fall 2024,3.85,A,0.53,0.72,1.0,0.51
ENROLL_00000243,STU_000049,COURSE_000012,Spring 2025,3.76,A,1.0,0.67,0.84,1.0
ENROLL_00000244,STU_000050,COURSE_000052,Fall 2024,2.87,B,0.64,0.77,0.47,1.0
ENROLL_00000245,STU_000050,COURSE_000009,Summer 2025,2.52,B-,0.77,0.92,0.76,0.45
ENROLL_00000246,STU_000050,COURSE_000062,Spring 2025,2.86,B,0.93,0.8,0.76,0.66
ENROLL_00000247,STU_000050,COURSE_000036,Spring 2025,2.93,B,0.82,1.0,0.57,0.93
ENROLL_00000248,STU_000050,COURSE_000039,Fall 2024,2.72,B,0.92,0.63,0.64,0.85
ENROLL_00000249,STU_000051,COURSE_000077,Summer 2025,2.86,B,0.89,1.0,0.9,0.74
ENROLL_00000250,STU_000051,COURSE_000018,Summer 2025,2.76,B,0.97,0.98,0.76,0.97
ENROLL_00000251,STU_000051,COURSE_000010,Spring 2025,2.68,B-,0.96,0.95,0.7,1.0
ENROLL_00000252,STU_000051,COURSE_000108,Spring 2025,2.94,B,0.76,0.59,0.92,0.54
ENROLL_00000253,STU_000051,COURSE_000114,Summer 2025,3.07,B+,1.0,0.88,1.0,1.0
ENROLL_00000254,STU_000052,COURSE_000036,Spring 2025,3.5,A-,1.0,0.73,0.5,0.64
ENROLL_00000255,STU_000052,COURSE_000030,Fall 2024,3.36,A-,1.0,0.89,0.98,0.59
ENROLL_00000256,STU_000052,COURSE_000038,Fall 2024,3.19,B+,0.98,0.86,0.75,1.0
ENROLL_00000257,STU_000052,COURSE_000024,Fall 2024,3.78,A,0.9,0.71,0.74,0.62
ENROLL_00000258,STU_000052,COURSE_000071,Fall 2024,2.6,B-,0.95,1.0,0.9,0.62
ENROLL_00000259,STU_000053,COURSE_000029,Summer 2025,2.99,B,0.78,0.97,1.0,0.47
