transaction_id,account_id,amount,transaction_date,transaction_type,merchant
TXN_0000000093,ACC_00000007,65.77,2025-11-12,Deposit,
TXN_0000000094,ACC_00000007,-5.54,2025-11-12,Withdrawal,
TXN_0000000095,ACC_00000007,-5.31,2025-11-12,Withdrawal,
TXN_0000000096,ACC_00000007,-124.35,2025-11-12,Payment,Shell
TXN_0000000097,ACC_00000007,7.16,2025-11-12,Deposit,
TXN_0000000098,ACC_00000007,2.55,2025-11-12,Deposit,
TXN_0000000099,ACC_00000007,-134.13,2025-11-12,Payment,Costco
TXN_0000000100,ACC_00000007,6.18,2025-11-12,Deposit,
TXN_0000000101,ACC_00000007,-107.68,2025-11-12,Withdrawal,
TXN_0000000102,ACC_00000007,16.78,2025-11-12,Deposit,
TXN_0000000103,ACC_00000007,13.88,2025-11-12,Deposit,
TXN_0000000104,ACC_00000007,-164.07,2025-11-12,Payment,Shell
TXN_0000000105,ACC_00000008,-14.61,2025-02-22,Payment,Home Depot
TXN_0000000106,ACC_00000008,-11.78,2025-02-03,Payment,Home Depot
TXN_0000000107,ACC_00000008,74.84,2025-03-09,Deposit,
TXN_0000000108,ACC_00000008,-13.56,2025-05-09,Withdrawal,
TXN_0000000109,ACC_00000008,-45.05,2025-02-18,Payment,McDonalds
TXN_0000000110,ACC_00000008,9.6,2025-04-12,Deposit,
TXN_0000000111,ACC_00000008,-29.07,2025-06-09,Withdrawal,
TXN_0000000112,ACC_00000008,69.81,2025-07-04,Deposit,
TXN_0000000113,ACC_00000008,34.52,2025-07-01,Deposit,
TXN_0000000114,ACC_00000008,-282.38,2025-01-27,Withdrawal,
TXN_0000000115,ACC_00000008,15.09,2025-02-17,Deposit,
TXN_0000000116,ACC_00000008,-19.1,2025-05-10,Payment,Home Depot
TXN_0000000117,ACC_00000008,28.43,2025-04-28,Deposit,
TXN_0000000118,ACC_00000008,-26.85,2025-02-11,Payment,Walmart
TXN_0000000119,ACC_00000008,-28.06,2025-02-05,Payment,Starbucks
TXN_0000000120,ACC_00000008,64.08,2025-03-08,Deposit,
TXN_0000000121,ACC_00000008,-94.44,2025-06-08,Payment,Home Depot
TXN_0000000122,ACC_00000008,-92.14,2025-05-30,Withdrawal,
TXN_0000000123,ACC_00000008,55.65,2024-12-22,Deposit,
TXN_0000000124,ACC_00000008,-77.63,2025-03-25,Payment,Starbucks
TXN_0000000125,ACC_00000008,142.66,2025-06-21,Deposit,
TXN_0000000126,ACC_00000008,-34.94,2025-05-01,Payment,Home Depot
TXN_0000000127,ACC_00000008,19.37,2025-04-10,Deposit,
TXN_0000000128,ACC_00000008,-222.99,2025-07-04,Withdrawal,
TXN_0000000129,ACC_00000008,-96.02,2025-02-24,Withdrawal,
TXN_0000000130,ACC_00000008,-8.47,2025-01-22,Payment,Amazon
TXN_0000000131,ACC_00000008,-194.02,2025-04-02,Payment,Target
TXN_0000000132,ACC_00000008,-4.63,2025-05-13,Payment,Costco
TXN_0000000133,ACC_00000008,-64.17,2025-05-30,Payment,Shell
TXN_0000000134,ACC_00000008,-38.52,2025-05-09,Payment,Home Depot
TXN_0000000135,ACC_00000008,-144.99,2025-03-25,Payment,Walmart
TXN_0000000136,ACC_00000009,-50.98,2023-03-22,Withdrawal,
TXN_0000000137,ACC_00000009,29.83,2024-10-29,Deposit,
TXN_0000000138,ACC_00000009,-53.62,2024-05-15,Payment,Costco
TXN_0000000139,ACC_00000009,-8.58,2023-07-19,Withdrawal,
TXN_0000000140,ACC_00000009,-2.96,2023-03-01,Payment,Costco
TXN_0000000141,ACC_00000009,-97.36,2024-05-26,Payment,Walmart
TXN_0000000142,ACC_00000009,-27.19,2024-05-02,Payment,Target
TXN_0000000143,ACC_00000009,-6.37,2024-04-25,Payment,Target
TXN_0000000144,ACC_00000009,-54.06,2024-07-11,Withdrawal,
TXN_0000000145,ACC_00000009,16.74,2024-10-08,Deposit,
TXN_0000000146,ACC_00000009,-7.23,2025-06-23,Payment,Costco
TXN_0000000147,ACC_00000009,-27.05,2024-02-11,Withdrawal,
TXN_0000000148,ACC_00000009,-120.84,2022-09-14,Payment,Shell
TXN_0000000149,ACC_00000009,-70.38,2024-06-16,Payment,Costco
TXN_0000000150,ACC_00000009,132.55,2023-03-13,Deposit,
TXN_0000000151,ACC_00000009,28.42,2022-08-14,Deposit,
TXN_0000000152,ACC_00000009,-72.56,2025-08-17,Withdrawal,
TXN_0000000153,ACC_00000009,-77.25,2024-10-10,Payment,Target
TXN_0000000154,ACC_00000011,-49.19,2021-11-19,Withdrawal,
TXN_0000000155,ACC_00000011,128.33,2022-01-05,Deposit,
TXN_0000000156,ACC_00000011,14.78,2024-03-03,Deposit,
TXN_0000000157,ACC_00000011,-40.96,2023-12-21,Withdrawal,
TXN_0000000158,ACC_00000011,-146.56,2024-09-15,Withdrawal,
TXN_0000000159,ACC_00000011,-29.34,2022-09-09,Payment,Walmart
TXN_0000000160,ACC_00000011,-4.49,2024-12-25,Withdrawal,
TXN_0000000161,ACC_00000011,-14.11,2021-10-24,Withdrawal,
TXN_0000000162,ACC_00000011,-155.92,2024-08-20,Payment,Walmart
TXN_0000000163,ACC_00000011,-133.36,2021-08-10,Payment,Home Depot
TXN_0000000164,ACC_00000011,-32.76,2022-07-29,Withdrawal,
TXN_0000000165,ACC_00000011,-64.51,2021-10-13,Withdrawal,
TXN_0000000166,ACC_00000011,24.77,2023-10-22,Deposit,
TXN_0000000167,ACC_00000011,-101.07,2024-11-09,Payment,Shell
TXN_0000000168,ACC_00000011,19.06,2024-09-16,Deposit,
TXN_0000000169,ACC_00000011,-61.76,2023-11-18,Payment,McDonalds
TXN_0000000170,ACC_00000011,12.03,2023-12-17,Deposit,
TXN_0000000171,ACC_00000011,-85.08,2024-03-21,Payment,Amazon
TXN_0000000172,ACC_00000011,-68.05,2021-05-11,Payment,Starbucks
TXN_0000000173,ACC_00000011,-22.3,2023-09-03,Payment,Shell
TXN_0000000174,ACC_00000011,39.54,2022-07-17,Deposit,
TXN_0000000175,ACC_00000011,-11.36,2024-09-22,Payment,Walmart
TXN_0000000176,ACC_00000012,-20.65,2024-09-01,Payment,McDonalds
TXN_0000000177,ACC_00000012,-193.35,2022-08-14,Payment,Walmart
TXN_0000000178,ACC_00000012,1.58,2025-07-03,Deposit,
TXN_0000000179,ACC_00000012,-5.58,2024-08-19,Withdrawal,
TXN_0000000180,ACC_00000012,92.4,2023-10-23,Deposit,
TXN_0000000181,ACC_00000012,61.35,2024-04-24,Deposit,
TXN_0000000182,ACC_00000012,0.79,2022-07-20,Deposit,
TXN_0000000183,ACC_00000012,-23.33,2023-06-09,Payment,Shell
TXN_0000000184,ACC_00000012,-64.07,2021-08-03,Payment,Costco
TXN_0000000185,ACC_00000012,-46.37,2021-03-09,Payment,Target
TXN_0000000186,ACC_00000012,26.07,2025-06-11,Deposit,
TXN_0000000187,ACC_00000012,-79.73,2023-09-20,Payment,Walmart
TXN_0000000188,ACC_00000012,29.83,2024-03-10,Deposit,
TXN_0000000189,ACC_00000012,23.28,2021-12-11,Deposit,
TXN_0000000190,ACC_00000012,15.87,2025-04-20,Deposit,
TXN_0000000191,ACC_00000012,52.66,2025-06-22,Deposit,
TXN_0000000192,ACC_00000012,-19.07,2023-04-16,Payment,Shell
TXN_0000000193,ACC_00000012,-3.5,2022-09-10,Payment,Shell
TXN_0000000194,ACC_00000012,39.68,2021-08-30,Deposit,
TXN_0000000195,ACC_00000012,-12.71,2025-03-23,Payment,Home Depot
TXN_0000000196,ACC_00000012,-37.32,2025-07-26,Payment,Shell
TXN_0000000197,ACC_00000012,-87.51,2023-07-13,Payment,Target
TXN_0000000198,ACC_00000012,-47.69,2025-04-22,Payment,Costco
TXN_0000000199,ACC_00000012,-4.62,2023-10-09,Withdrawal,
TXN_0000000200,ACC_00000012,-32.66,2022-03-27,Payment,Home Depot
TXN_0000000201,ACC_00000012,77.87,2021-01-26,Deposit,
TXN_0000000202,ACC_00000012,53.32,2021-02-09,Deposit,
TXN_0000000203,ACC_00000012,-42.64,2025-06-19,Payment,Shell
TXN_0000000204,ACC_00000012,-205.63,2023-01-27,Withdrawal,
TXN_0000000205,ACC_00000013,-34.78,2023-05-16,Withdrawal,
TXN_0000000206,ACC_00000013,-135.38,2023-08-22,Payment,Target
TXN_0000000207,ACC_00000013,-150.82,2025-06-08,Payment,Target
TXN_0000000208,ACC_00000013,-13.28,2024-02-22,Payment,Costco
TXN_0000000209,ACC_00000013,22.67,2024-06-29,Deposit,
TXN_0000000210,ACC_00000013,6.19,2022-10-25,Deposit,
TXN_0000000211,ACC_00000013,48.38,2025-06-17,Deposit,
TXN_0000000212,ACC_00000013,-114.28,2022-08-08,Withdrawal,
TXN_0000000213,ACC_00000013,67.26,2023-12-07,Deposit,
TXN_0000000214,ACC_00000013,-14.75,2023-06-14,Withdrawal,
TXN_0000000215,ACC_00000013,-5.59,2025-01-04,Payment,Starbucks
TXN_0000000216,ACC_00000013,-29.93,2024-07-03,Withdrawal,
TXN_0000000217,ACC_00000013,11.71,2023-11-08,Deposit,
TXN_0000000218,ACC_00000013,-94.94,2022-11-15,Payment,Walmart
TXN_0000000219,ACC_00000013,44.96,2022-07-20,Deposit,
TXN_0000000220,ACC_00000013,-14.4,2025-07-25,Withdrawal,
TXN_0000000221,ACC_00000013,-63.14,2025-02-11,Payment,Starbucks
TXN_0000000222,ACC_00000013,4.75,2022-11-16,Deposit,
TXN_0000000223,ACC_00000013,51.1,2024-04-03,Deposit,
TXN_0000000224,ACC_00000013,11.58,2023-08-12,Deposit,
TXN_0000000225,ACC_00000013,-135.25,2024-10-12,Payment,McDonalds
TXN_0000000226,ACC_00000013,-72.76,2025-06-24,Payment,Walmart
TXN_0000000227,ACC_00000013,-185.3,2022-05-15,Withdrawal,
TXN_0000000228,ACC_00000013,1.26,2024-04-09,Deposit,
TXN_0000000229,ACC_00000013,61.96,2023-10-15,Deposit,
TXN_0000000230,ACC_00000014,17.4,2023-12-06,Deposit,
TXN_0000000231,ACC_00000014,27.88,2025-05-26,Deposit,
TXN_0000000232,ACC_00000014,-8.06,2025-05-01,Payment,McDonalds
TXN_0000000233,ACC_00000014,-90.96,2025-08-06,Withdrawal,
TXN_0000000234,ACC_00000014,-119.21,2025-03-12,Withdrawal,
TXN_0000000235,ACC_00000014,-15.5,2025-06-17,Payment,Starbucks
TXN_0000000236,ACC_00000014,39.24,2023-12-03,Deposit,
TXN_0000000237,ACC_00000014,-66.56,2024-06-01,Payment,Home Depot
TXN_0000000238,ACC_00000014,-48.24,2024-03-13,Payment,Target
TXN_0000000239,ACC_00000014,-265.47,2024-02-20,Payment,McDonalds
TXN_0000000240,ACC_00000014,19.91,2025-05-12,Deposit,
TXN_0000000241,ACC_00000014,23.65,2023-07-10,Deposit,
TXN_0000000242,ACC_00000014,-27.03,2024-07-13,Payment,McDonalds
TXN_0000000243,ACC_00000014,-17.49,2025-02-19,Payment,Costco
TXN_0000000244,ACC_00000014,15.36,2023-12-24,Deposit,
TXN_0000000245,ACC_00000014,41.44,2023-05-17,Deposit,
TXN_0000000246,ACC_00000014,-24.81,2024-04-27,Payment,Target
TXN_0000000247,ACC_00000014,-11.96,2025-02-14,Payment,Home Depot
TXN_0000000248,ACC_00000014,-16.71,2025-05-27,Payment,McDonalds
TXN_0000000249,ACC_00000014,-19.17,2023-09-30,Payment,Home Depot
TXN_0000000250,ACC_00000014,65.6,2024-06-18,Deposit,
TXN_0000000251,ACC_00000014,-10.6,2024-11-09,Withdrawal,
TXN_0000000252,ACC_00000014,-16.52,2023-05-06,Withdrawal,
TXN_0000000253,ACC_00000014,-3.94,2023-07-20,Withdrawal,
TXN_0000000254,ACC_00000014,61.63,2024-09-26,Deposit,
TXN_0000000255,ACC_00000014,-46.89,2024-09-05,Payment,Walmart
TXN_0000000256,ACC_00000014,65.69,2023-04-11,Deposit,
TXN_0000000257,ACC_00000015,-69.27,2023-04-17,Withdrawal,
TXN_0000000258,ACC_00000015,-217.79,2023-03-01,Payment,Starbucks
TXN_0000000259,ACC_00000015,-5.31,2024-09-15,Withdrawal,
TXN_0000000260,ACC_00000015,-192.97,2023-06-15,Payment,Walmart
TXN_0000000261,ACC_00000015,-14.72,2024-12-03,Payment,Walmart
TXN_0000000262,ACC_00000015,-53.5,2023-10-24,Payment,Starbucks
TXN_0000000263,ACC_00000015,151.42,2024-10-18,Deposit,
TXN_0000000264,ACC_00000015,-148.9,2023-03-26,Withdrawal,
TXN_0000000265,ACC_00000015,-68.28,2024-06-20,Withdrawal,
TXN_0000000266,ACC_00000015,-191.42,2025-02-19,Payment,McDonalds
TXN_0000000267,ACC_00000015,22.38,2024-08-11,Deposit,
TXN_0000000268,ACC_00000015,69.81,2025-05-26,Deposit,
TXN_0000000269,ACC_00000015,40.81,2025-04-11,Deposit,
TXN_0000000270,ACC_00000015,12.36,2025-02-08,Deposit,
TXN_0000000271,ACC_00000015,28.48,2024-07-30,Deposit,
TXN_0000000272,ACC_00000015,-160.9,2024-01-08,Payment,Walmart
TXN_0000000273,ACC_00000015,-105.64,2025-05-20,Payment,Home Depot
TXN_0000000274,ACC_00000015,-28.19,2025-01-07,Payment,McDonalds
TXN_0000000275,ACC_00000015,26.12,2025-08-09,Deposit,
TXN_0000000276,ACC_00000015,-71.02,2024-09-12,Withdrawal,
TXN_0000000277,ACC_00000015,-87.35,2024-10-08,Payment,Amazon
TXN_0000000278,ACC_00000015,-41.45,2024-12-24,Withdrawal,
TXN_0000000279,ACC_00000015,-74.47,2024-09-02,Payment,Amazon
TXN_0000000280,ACC_00000015,-9.56,2023-08-04,Withdrawal,
TXN_0000000281,ACC_00000015,-40.33,2023-07-07,Payment,Starbucks
TXN_0000000282,ACC_00000015,45.14,2025-01-18,Deposit,
TXN_0000000283,ACC_00000015,-22.26,2023-06-10,Payment,Home Depot
TXN_0000000284,ACC_00000015,-7.92,2024-12-17,Withdrawal,
TXN_0000000285,ACC_00000015,-16.06,2024-11-05,Payment,Walmart
TXN_0000000286,ACC_00000015,-75.56,2023-06-13,Payment,Costco
TXN_0000000287,ACC_00000015,110.35,2025-01-30,Deposit,
TXN_0000000288,ACC_00000016,-44.01,2025-07-26,Payment,Home Depot
TXN_0000000289,ACC_00000016,-106.43,2023-10-27,Payment,Walmart
TXN_0000000290,ACC_00000016,-1.9,2024-03-22,Payment,Shell
TXN_0000000291,ACC_00000016,-19.66,2025-04-03,Payment,Amazon
TXN_0000000292,ACC_00000016,-6.35,2025-05-01,Payment,Walmart
TXN_0000000293,ACC_00000016,133.98,2023-06-16,Deposit,
TXN_0000000294,ACC_00000016,-141.57,2023-12-26,Payment,Shell
TXN_0000000295,ACC_00000016,-42.56,2024-11-20,Withdrawal,
TXN_0000000296,ACC_00000016,-97.13,2023-10-28,Payment,McDonalds
TXN_0000000297,ACC_00000017,-61.17,2025-05-24,Withdrawal,
TXN_0000000298,ACC_00000017,-31.55,2025-03-10,Payment,Home Depot
TXN_0000000299,ACC_00000017,-87.71,2024-11-14,Payment,Starbucks
TXN_0000000300,ACC_00000017,39.49,2024-11-18,Deposit,
TXN_0000000301,ACC_00000017,-23.68,2025-02-23,Payment,Starbucks
TXN_0000000302,ACC_00000017,-54.13,2025-05-13,Payment,Walmart
TXN_0000000303,ACC_00000017,-13.11,2025-01-23,Payment,Starbucks
TXN_0000000304,ACC_00000017,-200.67,2024-10-18,Payment,Target
TXN_0000000305,ACC_00000017,49.4,2025-04-24,Deposit,
TXN_0000000306,ACC_00000017,-144.6,2024-12-01,Withdrawal,
TXN_0000000307,ACC_00000017,-5.4,2024-11-17,Payment,Costco
TXN_0000000308,ACC_00000017,-64.44,2025-02-24,Withdrawal,
TXN_0000000309,ACC_00000017,-9.54,2025-01-29,Payment,Starbucks
TXN_0000000310,ACC_00000017,-177.54,2025-02-25,Payment,Costco
TXN_0000000311,ACC_00000017,20.71,2025-01-28,Deposit,
TXN_0000000312,ACC_00000017,-46.53,2025-01-25,Payment,Home Depot
TXN_0000000313,ACC_00000017,-59.59,2025-04-09,Withdrawal,
TXN_0000000314,ACC_00000017,-125.44,2024-10-13,Payment,McDonalds
TXN_0000000315,ACC_00000017,-30.9,2025-08-06,Payment,Home Depot
TXN_0000000316,ACC_00000017,-21.95,2024-11-27,Payment,Shell
TXN_0000000317,ACC_00000017,-31.59,2024-11-27,Withdrawal,
TXN_0000000318,ACC_00000017,-123.92,2025-08-03,Payment,Starbucks
TXN_0000000319,ACC_00000017,16.89,2025-05-19,Deposit,
TXN_0000000320,ACC_00000017,-187.05,2025-03-15,Payment,Shell
TXN_0000000321,ACC_00000017,-1.77,2024-10-21,Payment,Walmart
TXN_0000000322,ACC_00000017,54.5,2025-01-29,Deposit,
TXN_0000000323,ACC_00000017,-85.16,2025-01-21,Payment,Costco
TXN_0000000324,ACC_00000017,-125.23,2024-12-25,Withdrawal,
TXN_0000000325,ACC_00000017,8.19,2024-12-13,Deposit,
TXN_0000000326,ACC_00000017,-10.38,2025-08-17,Withdrawal,
TXN_0000000327,ACC_00000017,-166.41,2025-07-17,Payment,McDonalds
TXN_0000000328,ACC_00000017,-36.55,2025-04-10,Withdrawal,
TXN_0000000329,ACC_00000017,11.57,2024-10-03,Deposit,
TXN_0000000330,ACC_00000017,77.04,2024-11-19,Deposit,
TXN_0000000331,ACC_00000017,-11.28,2025-05-03,Withdrawal,
TXN_0000000332,ACC_00000017,3.37,2025-02-15,Deposit,
TXN_0000000333,ACC_00000017,-107.21,2024-10-29,Payment,Costco
TXN_0000000334,ACC_00000017,43.82,2024-10-20,Deposit,
TXN_0000000335,ACC_00000017,7.84,2025-03-14,Deposit,
TXN_0000000336,ACC_00000017,-88.91,2025-04-07,Payment,Amazon
TXN_0000000337,ACC_00000018,-52.69,2024-04-19,Payment,Walmart
TXN_0000000338,ACC_00000018,-32.59,2023-03-07,Withdrawal,
TXN_0000000339,ACC_00000018,-33.38,2024-04-07,Withdrawal,
TXN_0000000340,ACC_00000018,-165.34,2023-10-14,Payment,Walmart
TXN_0000000341,ACC_00000018,-126.08,2023-04-19,Payment,Shell
TXN_0000000342,ACC_00000018,-118.91,2025-03-08,Payment,Starbucks
TXN_0000000343,ACC_00000018,59.5,2023-06-20,Deposit,
TXN_0000000344,ACC_00000018,-161.66,2023-11-19,Payment,Costco
TXN_0000000345,ACC_00000018,-18.62,2025-05-30,Payment,Walmart
TXN_0000000346,ACC_00000018,-6.28,2024-12-03,Withdrawal,
TXN_0000000347,ACC_00000018,-24.87,2025-05-29,Withdrawal,
TXN_0000000348,ACC_00000018,-7.75,2024-06-08,Payment,Home Depot
TXN_0000000349,ACC_00000018,-110.93,2022-06-05,Withdrawal,
TXN_0000000350,ACC_00000018,-46.81,2025-02-06,Payment,Target
TXN_0000000351,ACC_00000018,-47.35,2022-06-14,Payment,McDonalds
TXN_0000000352,ACC_00000018,-75.8,2024-01-04,Payment,McDonalds
TXN_0000000353,ACC_00000018,14.78,2024-07-26,Deposit,
TXN_0000000354,ACC_00000018,-61.75,2023-10-28,Withdrawal,
TXN_0000000355,ACC_00000018,-10.85,2025-02-06,Payment,Shell
TXN_0000000356,ACC_00000018,-150.0,2023-10-10,Payment,Walmart
TXN_0000000357,ACC_00000018,-16.12,2024-09-12,Payment,Amazon
TXN_0000000358,ACC_00000018,5.48,2023-10-09,Deposit,
TXN_0000000359,ACC_00000018,-48.36,2022-06-30,Payment,Walmart
TXN_0000000360,ACC_00000018,-134.41,2025-07-18,Payment,Shell
TXN_0000000361,ACC_00000018,-27.55,2024-12-15,Payment,Amazon
TXN_0000000362,ACC_00000018,8.85,2023-03-31,Deposit,
TXN_0000000363,ACC_00000018,108.94,2022-03-29,Deposit,
TXN_0000000364,ACC_00000018,-105.33,2025-04-06,Payment,Costco
TXN_0000000365,ACC_00000018,-137.03,2024-07-08,Payment,Home Depot
TXN_0000000366,ACC_00000018,-127.2,2024-09-08,Payment,Amazon
TXN_0000000367,ACC_00000018,50.26,2024-07-06,Deposit,
TXN_0000000368,ACC_00000018,0.51,2023-08-09,Deposit,
TXN_0000000369,ACC_00000018,5.85,2023-07-05,Deposit,
TXN_0000000370,ACC_00000018,216.36,2022-11-07,Deposit,
TXN_0000000371,ACC_00000018,-146.37,2023-07-18,Withdrawal,
TXN_0000000372,ACC_00000018,-94.11,2023-04-21,Payment,Costco
TXN_0000000373,ACC_00000020,-64.87,2025-06-26,Payment,Home Depot
TXN_0000000374,ACC_00000020,-83.2,2024-06-06,Payment,Amazon
TXN_0000000375,ACC_00000020,-19.12,2025-04-11,Withdrawal,
TXN_0000000376,ACC_00000020,-14.62,2024-12-03,Payment,Costco
TXN_0000000377,ACC_00000020,-64.7,2024-07-09,Withdrawal,
TXN_0000000378,ACC_00000020,-90.87,2024-09-07,Payment,Target
TXN_0000000379,ACC_00000020,10.78,2024-05-21,Deposit,
TXN_0000000380,ACC_00000020,36.24,2025-07-20,Deposit,
TXN_0000000381,ACC_00000020,-27.78,2024-12-27,Payment,Shell
TXN_0000000382,ACC_00000020,-15.66,2025-07-11,Withdrawal,
